categoria,titulo,resumen,autor,enlace
Gastronomia,Dabiz Muñoz alarga la temporada de DiverXO en el hotel NH Eurobuilding de Madrid,No disponible,P. Á.,https://elpais.com/gastronomia/2025-02-10/dabiz-munoz-alarga-la-temporada-de-diverxo-en-el-hotel-nh-eurobuilding-de-madrid.html
Gastronomia,El flan parisién se pone de moda en Barcelona y asoma la cabeza en Madrid,"La cafetería TosTao fue de los primeros sitios en ofrecerlo al estilo clásico, pero en versión individual hay en pastelerías como Hofmann o Morreig",Mar Rocabert Maltas,https://elpais.com/gastronomia/2025-02-10/el-flan-parisien-se-pone-de-moda-en-barcelona-y-asoma-la-cabeza-en-madrid.html
Gastronomia,"Pasta con sobrasada, una versión de un clásico italiano",No disponible,Anna Mayer,https://elpais.com/gastronomia/el-comidista/2025-02-10/pasta-con-sobrasada-una-version-de-un-clasico-italiano.html
Elviajero,"Qué hacer 24 horas en Le Havre, el ave fénix de Normandía","El recorrido de esta villa sorprende con el colorido interior de la iglesia de San José o Les Bains des Docks, la piscina obra del arquitecto Jean Nouvel",Galo Martín Aparicio,https://elpais.com/elviajero/escapadas/europa/2025-02-10/que-hacer-24-horas-en-le-havre-el-ave-fenix-de-normandia.html
Estilo De Vida,"50 años definiendo el criterio Pilma, el secreto de la emblemática tienda de muebles de Barcelona",No disponible,Mar Rocabert Maltas,https://elpais.com/estilo-de-vida/2025-02-10/50-anos-definiendo-el-criterio-pilma-el-secreto-de-la-emblematica-tienda-de-muebles-de-barcelona.html
Estilo,Málaga acoge la primera gran retrospectiva sobre Gianni Versace en España,La exposición ‘Gianni Versace. Retrospective’ reúne más de 500 piezas originales de las diferentes épocas en las que se forjó el mito,Victoria Zárate,https://elpais.com/estilo/2025-02-10/malaga-acoge-la-primera-gran-retrospectiva-sobre-gianni-versace-en-espana.html
Mamas Papas,Ocho películas y series españolas que retratan cómo es ser padres hoy y que deberías ver,Estas ficciones recientes sobre crianza han sido aplaudidas por la crítica,Martín Piñol,https://elpais.com/mamas-papas/primera-persona/2025-02-09/ocho-peliculas-y-series-espanolas-que-retratan-como-es-ser-padres-hoy-y-que-deberias-ver.html
Escaparate,Pruebo los cepillos de dientes más económicos y te digo cuál comprar,No disponible,Lucía García,https://elpais.com/escaparate/
Eps,"ELA, la condena",No disponible,Martín Caparrós,https://elpais.com/eps/2025-02-09/ela-la-condena.html
Us,El racismo en la era Trump: “No hables ese español de mierda en mi país”,No disponible,I. SANTAEULALIA / C. G. COLOMÉ / P. CARO / J. JANK CURBELO,https://elpais.com/us/migracion/2025-02-09/el-racismo-en-la-era-trump-no-hables-ese-espanol-de-mierda-en-mi-pais.html
Babelia,"De Gutenberg a Elon Musk: historia, poder y tecnología",No disponible,Marta Peirano,https://elpais.com/babelia/2025-02-08/de-gutenberg-a-elon-musk-historia-poder-y-tecnologia.html
Ciencia,La misteriosa muerte de las sacerdotisas teñidas de rojo que vestían 270.000 conchas marinas,No disponible,Miguel Ángel Criado,https://elpais.com/ciencia/2025-02-08/la-misteriosa-muerte-de-las-sacerdotisas-tenidas-de-rojo-que-vestian-270000-conchas-marinas.html
Internacional,China activa los aranceles de represalia a productos de EE UU por valor de 14.000 millones,No disponible,Guillermo Abril,https://elpais.com/internacional/2025-02-10/china-activa-los-aranceles-de-represalia-a-productos-de-ee-uu-por-valor-de-14000-millones.html
Internacional,La rebelión sin líderes de los jóvenes en Serbia sigue ganando adeptos: “Tenemos un deber moral contra la corrupción”,No disponible,No disponible,https://elpais.com/internacional/2025-02-10/la-rebelion-sin-lideres-de-los-jovenes-en-serbia-sigue-ganando-adeptos-tenemos-un-deber-moral-contra-la-corrupcion.html
Internacional,Los hijos de los vencidos por el régimen custodian las calles de la nueva Siria,No disponible,No disponible,https://elpais.com/internacional/2025-02-10/los-hijos-de-los-vencidos-por-el-regimen-custodian-las-calles-de-la-nueva-siria.html
Espana,El Constitucional admite a trámite los primeros recursos contra la decisión del Supremo de no aplicar la amnistía,No disponible,José María Brunet,https://elpais.com/espana/2025-02-10/el-constitucional-admite-a-tramite-los-primeros-recursos-contra-la-decision-del-supremo-de-no-aplicar-la-amnistia.html
Espana,Sin casa y en los tribunales: los vecinos sin hogar por la L-7B de Metro pleitean con el Ejecutivo de Ayuso por una indemnización mejor,No disponible,No disponible,https://elpais.com/espana/madrid/2025-02-10/sin-casa-y-en-los-tribunales-los-vecinos-sin-hogar-por-la-linea-7b-de-metro-pleitean-con-el-ejecutivo-de-ayuso-por-una-indemnizacion-mejor.html
Espana,Conde-Pumpido se abstendrá en el recurso de Dolores Delgado contra la anulación de su nombramiento como fiscal de Sala del Supremo,No disponible,No disponible,https://elpais.com/espana/2025-02-10/conde-pumpido-se-abstendra-en-el-recurso-de-dolores-delgado-contra-la-anulacion-de-su-nombramiento-como-fiscal-de-sala-del-supremo.html
Economia,Cuerpo dice que los aranceles son “perjudiciales para todo el mundo” y pide “prudencia”,No disponible,No disponible,https://elpais.com/economia/2025-02-10/cuerpo-dice-que-los-aranceles-son-perjudiciales-para-todo-el-mundo-y-pide-prudencia.html
Economia,CSIF pide a la Fiscalía que investigue la falta de asistencia sanitaria a funcionarios de Muface,No disponible,No disponible,https://elpais.com/economia/2025-02-10/csif-pide-a-la-fiscalia-que-investigue-la-falta-de-asistencia-sanitaria-a-funcionarios-de-muface.html
Economia,Los jóvenes se muestran escépticos sobre los planes para facilitar el acceso a la vivienda del Gobierno y de la oposición,No disponible,No disponible,https://elpais.com/economia/2025-02-10/los-jovenes-se-muestran-escepticos-sobre-los-planes-para-facilitar-el-acceso-a-la-vivienda-del-gobierno-y-de-la-oposicion.html
Espana,"Patología dual, un diagnóstico de adicción y trastorno mental al alza",No disponible,David Expósito,https://elpais.com/espana/madrid/2025-02-10/patologia-dual-un-diagnostico-de-adiccion-y-trastorno-mental-al-alza.html
